Time of Day [h:m:s:ms],Participant,Category Right,Category Left,Index Right,Index Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Class
13:42:19:409,59,Separator,Separator,1,1,-,-,-,-,0
13:42:19:425,59,-,-,-,-,442.0369,649.1912,0,0,0
13:42:19:443,59,-,-,-,-,0,0,758.4428,672.9454,0
13:42:19:460,59,-,Blink,-,1,0,0,0,0,0
13:42:19:477,59,Fixation,Blink,1,1,453.5105,770.2014,0,0,0
13:42:19:494,59,Fixation,Blink,1,1,0,0,0,0,0
13:42:19:511,59,Fixation,Blink,1,1,464.1608,771.3055,0,0,0
13:42:19:527,59,Fixation,Blink,1,1,0,0,0,0,0
13:42:19:544,59,Fixation,Blink,1,1,465.6809,772.5328,0,0,0
13:42:19:561,59,Fixation,Blink,1,1,468.2251,769.9263,0,0,0
13:42:19:578,59,Fixation,Blink,1,1,473.0775,764.5215,0,0,0
13:42:19:595,59,Fixation,Blink,1,1,474.4467,770.2125,0,0,0
13:42:19:612,59,Fixation,Blink,1,1,476.0952,693.9275,0,0,0
13:42:19:629,59,Saccade,Blink,1,1,475.6167,765.0586,0,0,0
13:42:19:645,59,Saccade,Blink,1,1,508.3621,542.3348,0,0,0
13:42:19:662,59,Fixation,Blink,2,1,579.1862,458.9911,0,0,0
13:42:19:679,59,Fixation,Blink,2,1,573.0966,453.301,0,0,0
13:42:19:696,59,Fixation,Blink,2,1,577.2418,429.6771,0,0,0
13:42:19:713,59,Fixation,Blink,2,1,581.4485,427.3585,0,0,0
13:42:19:730,59,Fixation,Blink,2,1,584.8074,426.2836,0,0,0
13:42:19:747,59,Fixation,Blink,2,1,570.0482,442.709,0,0,0
13:42:19:764,59,Fixation,Blink,2,1,582.9305,427.0677,0,0,0
13:42:19:780,59,Fixation,Blink,2,1,583.5628,428.9199,0,0,0
13:42:19:797,59,Fixation,Blink,2,1,0,0,854.9128,404.5863,0
13:42:19:814,59,Fixation,Blink,2,2,591.8278,428.4753,0,0,0
13:42:19:831,59,Fixation,Blink,2,2,0,0,0,0,0
13:42:19:848,59,Fixation,Blink,2,2,588.3176,426.9233,0,0,0
13:42:19:865,59,Fixation,Blink,2,2,0,0,0,0,0
13:42:19:882,59,Fixation,Blink,2,2,584.2845,419.5923,0,0,0
13:42:19:898,59,Fixation,Fixation,2,1,584.2384,422.3089,641.6415,478.664,0
13:42:19:915,59,Fixation,Fixation,2,1,581.8376,417.6286,0,0,0
13:42:19:932,59,Fixation,Fixation,2,1,582.3839,416.9683,647.2216,477.4441,0
13:42:19:949,59,Fixation,Fixation,2,1,582.7649,417.4864,0,0,0
13:42:19:966,59,Fixation,Fixation,2,1,577.5796,409.9474,646.542,496.9026,0
13:42:19:983,59,Fixation,Fixation,2,1,577.6565,410.326,649.3116,484.1271,0
13:42:20:000,59,Fixation,Fixation,2,1,576.9944,407.4826,650.5858,484.7186,0
13:42:20:017,59,Fixation,Fixation,2,1,576.6869,403.2891,654.5583,490.1704,0
13:42:20:033,59,Fixation,Fixation,2,1,574.9805,401.5222,653.8256,483.7963,0
13:42:20:050,59,Fixation,Fixation,2,1,573.4511,400.8839,655.5176,484.5746,0
13:42:20:067,59,Fixation,Blink,2,3,575.8129,401.2484,0,0,0
13:42:20:084,59,Fixation,Blink,2,3,577.3224,398.4231,0,0,0
13:42:20:101,59,Fixation,Blink,2,3,577.2893,398.7044,0,0,0
13:42:20:118,59,Fixation,Blink,2,3,577.552,396.9259,0,0,0
13:42:20:135,59,Fixation,Blink,2,3,578.3215,396.0271,0,0,0
13:42:20:152,59,Fixation,Blink,2,3,579.4427,396.7645,0,0,0
13:42:20:168,59,Fixation,Blink,2,3,580.1709,397.9409,0,0,0
13:42:20:185,59,Saccade,Blink,2,3,577.0532,399.8578,0,0,0
13:42:20:202,59,Blink,Blink,1,3,328.5172,716.4231,0,0,0
13:42:20:219,59,Blink,Blink,1,3,0,0,0,0,0
13:42:20:236,59,Blink,Blink,1,3,0,0,0,0,0
13:42:20:253,59,Blink,Blink,1,3,0,0,0,0,0
13:42:20:270,59,Blink,Blink,1,3,0,0,0,0,0
13:42:20:287,59,Fixation,Blink,3,3,575.3903,397.0686,0,0,0
13:42:20:303,59,Fixation,Blink,3,3,578.2396,398.3607,801.8067,492.3558,0
13:42:20:320,59,Fixation,-,3,-,575.3391,398.1197,627.037,489.8674,0
13:42:20:337,59,Fixation,Blink,3,4,0,0,0,0,0
13:42:20:354,59,Fixation,Blink,3,4,572.8035,398.8496,0,0,0
13:42:20:371,59,Fixation,Blink,3,4,573.2541,399.9989,0,0,0
13:42:20:388,59,Fixation,Blink,3,4,573.0523,397.5907,0,0,0
13:42:20:404,59,Fixation,Blink,3,4,572.4938,399.5044,0,0,0
13:42:20:421,59,Fixation,Blink,3,4,572.4063,400.4886,0,0,0
13:42:20:438,59,Fixation,Blink,3,4,573.6818,398.6406,0,0,0
13:42:20:454,59,Fixation,Blink,3,4,576.2066,396.5367,0,0,0
13:42:20:471,59,Fixation,Blink,3,4,575.834,396.2036,0,0,0
13:42:20:488,59,Fixation,Blink,3,4,577.1333,397.3191,0,0,0
